replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
prelim,low,5,1330,4,male,0,0,0,1,0,0,3,0,1,0,1,1,5,12
prelim,low,5,1330,4,female,0,2,0,0,1,2,2,0,1,0,1,1,2,12
prelim,low,5,1330,4,both,0,2,0,1,1,2,5,0,2,0,2,2,7,24
prelim,low,5,1430,5,male,0,0,1,1,0,0,2,0,1,0,2,2,3,12
prelim,low,5,1430,5,female,0,0,0,1,1,2,0,1,1,0,0,0,6,12
prelim,low,5,1430,5,both,0,0,1,2,1,2,2,1,2,0,2,2,9,24
prelim,low,5,1530,6,male,0,0,0,1,0,3,1,0,2,1,0,0,4,12
prelim,low,5,1530,6,female,1,0,0,1,1,1,2,0,0,0,0,0,6,12
prelim,low,5,1530,6,both,1,0,0,2,1,4,3,0,2,1,0,0,10,24
prelim,low,5,1630,7,male,1,0,0,1,0,2,2,1,1,2,0,0,2,12
prelim,low,5,1630,7,female,1,1,0,1,2,1,0,1,0,0,0,1,4,12
prelim,low,5,1630,7,both,2,1,0,2,2,3,2,2,1,2,0,1,6,24
prelim,low,5,1730,8,male,0,0,0,2,0,2,2,2,0,2,1,0,1,12
prelim,low,5,1730,8,female,0,1,0,1,1,2,0,0,1,0,0,1,5,12
prelim,low,5,1730,8,both,0,1,0,3,1,4,2,2,1,2,1,1,6,24
prelim,low,5,1800,9,male,0,0,0,2,0,2,2,2,0,2,1,1,0,12
prelim,low,5,1800,9,female,0,1,0,2,2,3,0,1,0,0,1,1,1,12
prelim,low,5,1800,9,both,0,1,0,4,2,5,2,3,0,2,2,2,1,24
prelim,low,6,1000,1,male,0,0,0,2,0,3,2,1,0,2,0,2,0,12
prelim,low,6,1000,1,female,0,2,0,1,1,3,0,1,0,1,0,2,1,12
prelim,low,6,1000,1,both,0,2,0,3,1,6,2,2,0,3,0,4,1,24
prelim,low,6,1115,2,male,0,0,0,1,0,2,2,1,0,2,0,2,2,12
prelim,low,6,1115,2,female,0,0,0,1,1,2,0,0,0,0,0,1,7,12
prelim,low,6,1115,2,both,0,0,0,2,1,4,2,1,0,2,0,3,9,24
prelim,low,6,1230,3,male,0,0,0,1,0,2,2,1,0,2,0,1,3,12
prelim,low,6,1230,3,female,0,1,0,1,1,1,0,0,0,0,0,0,8,12
prelim,low,6,1230,3,both,0,1,0,2,1,3,2,1,0,2,0,1,11,24
prelim,low,6,1330,4,male,0,0,0,1,0,1,0,0,1,1,0,2,6,12
prelim,low,6,1330,4,female,2,0,0,0,1,1,0,0,0,0,0,0,8,12
prelim,low,6,1330,4,both,2,0,0,1,1,2,0,0,1,1,0,2,14,24
prelim,low,6,1430,5,male,0,1,0,1,0,1,0,1,1,0,1,3,3,12
prelim,low,6,1430,5,female,0,0,1,0,1,1,1,0,0,2,0,0,6,12
prelim,low,6,1430,5,both,0,1,1,1,1,2,1,1,1,2,1,3,9,24
prelim,low,6,1530,6,male,0,1,0,3,0,1,0,2,0,0,0,2,3,12
prelim,low,6,1530,6,female,1,0,0,0,2,0,1,0,0,1,0,0,7,12
prelim,low,6,1530,6,both,1,1,0,3,2,1,1,2,0,1,0,2,10,24
prelim,low,6,1630,7,male,0,1,0,2,1,1,3,1,0,0,0,0,3,12
prelim,low,6,1630,7,female,0,0,0,2,0,2,1,0,0,1,1,1,4,12
prelim,low,6,1630,7,both,0,1,0,4,1,3,4,1,0,1,1,1,7,24
prelim,low,6,1730,8,male,0,1,0,2,1,2,2,1,0,1,0,0,2,12
prelim,low,6,1730,8,female,0,0,0,3,0,1,2,0,0,1,1,0,4,12
prelim,low,6,1730,8,both,0,1,0,5,1,3,4,1,0,2,1,0,6,24
1,low,1,900,9,male,1,1,0,2,3,0,1,1,0,2,1,0,0,12
1,low,1,900,9,female,3,1,0,1,1,0,1,1,0,3,0,0,1,12
1,low,1,900,9,both,4,2,0,3,4,0,2,2,0,5,1,0,1,24
1,low,1,1000,1,male,1,2,0,1,2,0,0,0,1,2,2,0,1,12
