Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
410,1,Low,6,1400,7,P L,
411,1,Low,6,1400,10,D G N R T W,
412,1,Low,6,1400,11,U J ,
413,1,Low,6,1400,12,I K,
414,1,Low,6,1500,7,A L P,
415,1,Low,6,1500,10,D G N R T W X,
416,1,Low,6,1500,12,K I,
417,1,Low,6,1600,1,E H,
418,1,Low,6,1600,7,A L P V,
419,1,Low,6,1600,10,D G N R T W X S,
420,1,Low,6,1600,12,I K,
421,1,Low,6,1700,7,A L P,
422,1,Low,6,1700,10,B D G N R S T W S,
423,1,Low,6,1700,11,O J,
424,1,Low,6,1700,12,I K,
425,1,High,1,900,1,A I O Q S,
426,1,High,1,900,1,K D,
427,1,High,1,900,2,X C F N P U W J G M L R H E,
428,1,High,1,1000,1,B O I Q A,
429,1,High,1,1000,1,S K D,
430,1,High,1,1000,2,X M C F G J R,
431,1,High,1,1100,1,A D,
432,1,High,1,1100,2,X R M G F C,
433,1,High,1,1100,Outside,E Q ,
434,1,High,1,1200,2,O G R M,
435,1,High,1,1200,2,K L C,
436,1,High,1,1300,1,F A X,
437,1,High,1,1400,1,L I P,
438,1,High,1,1400,1,B S,
439,1,High,1,1500,1,H I,
440,1,High,1,1500,2,D S,
441,1,High,1,1500,2,E F,
442,1,High,1,1700,1,B C G V ,
443,1,High,2,900,1,R N A M I U W ,2 more unidentified
444,1,High,2,900,1,P,1 more unidentified
445,1,High,2,900,2,G O E V F D S J ,
446,1,High,2,1000,1,R N A I U M W,2 more unidentified
447,1,High,2,1000,1,P,1 more unidentified
448,1,High,2,1000,2,X G O E V F J D S,2 more unidentified
449,1,High,2,1100,1,R M A U N K L W ,
450,1,High,2,1100,1,I P,
451,1,High,2,1100,2,X D O S H G V Q J,
452,1,High,2,1100,Outside,B C,
453,1,High,2,1200,1,F R N M A L W K,
454,1,High,2,1200,2,E D H S V O G,
455,1,High,2,1300,1,A I W K F R M N L,
456,1,High,2,1300,1,B C,
457,1,High,2,1300,2,X H V O E D G,
458,1,High,2,1400,1,A C R I L M N K W,
459,1,High,2,1400,2,O G S D V X,
460,1,High,2,1500,1,R A N M K W L,
461,1,High,2,1500,1,X P,
462,1,High,2,1500,2,H O S D V,
463,1,High,2,1600,1,R N K X M W L I,
464,1,High,2,1600,2,D O S V,
465,1,High,2,1700,1,I A M R K X W N L,
466,1,High,2,1700,1,F P T,
467,1,High,2,1700,2,G S O V,
468,1,High,3,900,1,I R T K X A U M W L N,
469,1,High,3,900,2,D E,
470,1,High,3,900,2,O Q V J C S B ,
471,1,High,3,900,2,G H,
472,1,High,3,1000,1,X L W K A M N R T U I,
473,1,High,3,1000,2,D E,
474,1,High,3,1000,2,G H,
475,1,High,3,1000,2,O Q S V,
476,1,High,3,1100,1,A M U I W K X R T,
477,1,High,3,1100,2,C D,
